pl_name,matched,match_kind,master_lang_id,master_name,source_flags,extensions,in_pldb,in_linguist,in_wikipedia,in_esolang,in_hyperpolyglot,in_pygments,in_rosettacode,fuzzy_candidates
ALGOL,True,exact_canonical,algol,algol,linguist;pldb,.alg,True,True,False,False,False,True,True,
ALGOL 58,False,,,,,,False,False,False,False,False,False,False,
ALGOL 60,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68C,False,,,,,,False,False,False,False,False,False,False,
ALGOL 68R,False,,,,,,False,False,False,False,False,False,False,
Algol W,False,,,,,,False,False,False,False,False,False,False,
ALGOL-M,False,,,,,,False,False,False,False,False,False,False,
ALGOL-N,True,exact_canonical,algol-n,algol-n,pldb,,True,False,False,False,False,False,False,
ALGOL-T,False,,,,,,False,False,False,False,False,False,False,
Alice,True,exact_canonical,alice,alice,esolang;pldb,,True,False,False,True,False,False,False,
Alice ML,False,,,,,,False,False,False,False,False,False,False,
Allegro CL,False,,,,,,False,False,False,False,False,False,False,
Alloy,True,exact_canonical,alloy,Alloy,linguist,.als,False,True,False,False,True,True,False,
ALM,False,,,,,,False,False,False,False,False,False,False,
Alma,True,exact_canonical,alma,alma,pldb,,True,False,False,False,False,False,False,
Alma-0,True,exact_canonical,alma-0,alma-0,pldb,,True,False,False,False,False,False,False,
Alms,False,,,,,,False,False,False,False,False,False,False,
Alore,False,,,,,,False,False,False,False,False,False,False,
Alpaca,True,exact_canonical,alpaca,alpaca,esolang;pldb,,True,False,False,True,False,False,False,
Alpha Assembly,False,,,,,,False,False,False,False,False,False,False,
Alphard,True,exact_canonical,alphard,alphard,pldb,,True,False,False,False,False,False,False,
Altair BASIC,False,,,,,,False,False,False,False,False,False,False,
ALTRAN,True,exact_canonical,altran,altran,pldb,,True,False,False,False,False,False,False,
Alumina,True,exact_canonical,alumina,alumina,pldb,,True,False,False,False,False,False,False,
Amanda,True,exact_canonical,amanda,amanda,pldb,,True,False,False,False,False,False,False,
Amaranth,False,,,,,,False,False,False,False,False,False,False,
Amaranth HDL,False,,,,,,False,False,False,False,False,False,False,
Amazing Hopper,False,,,,,,False,False,False,False,False,False,False,
Amber,True,exact_canonical,amber,amber,esolang;pldb,,True,False,False,True,False,False,False,
Amber Smalltalk,False,,,,,,False,False,False,False,False,False,False,
AmbientTalk,True,exact_canonical,ambienttalk,ambienttalk,pldb,,True,False,False,False,False,True,True,
AMBIT,True,exact_canonical,ambit,ambit,pldb,,True,False,False,False,False,False,False,
Amiga BASIC,False,,,,,,False,False,False,False,False,False,False,amigabasic
Amiga E,False,,,,,,False,False,False,False,False,False,False,
AmigaBasic,True,exact_canonical,amigabasic,amigabasic,pldb,,True,False,False,False,False,False,True,
AmigaE,True,exact_tool,amiga-e,amiga-e,pldb,,True,False,False,False,False,False,True,
AML,False,,,,,,False,False,False,False,False,False,False,
AMOS,True,exact_canonical,amos,amos,pldb,,True,False,False,False,False,False,False,
AMOS Basic,False,,,,,,False,False,False,False,False,False,False,
Ampersand,False,,,,,,False,False,False,False,False,False,False,
AMPL,True,exact_canonical,ampl,ampl,linguist;pldb,.ampl .mod,True,True,False,False,True,True,True,
AMTRAN,True,exact_canonical,amtran,amtran,pldb,,True,False,False,False,False,False,False,
Amulet,True,exact_canonical,amulet,amulet,pldb,,True,False,False,False,False,False,False,
Andl,False,,,,,,False,False,False,False,False,False,False,
Andromeda,True,exact_canonical,andromeda,Andromeda,esolang,,False,False,False,True,False,False,False,
AngelScript,True,exact_canonical,angelscript,angelscript,linguist;pldb,.angelscript .as,True,True,False,False,True,True,True,
Anglican,False,,,,,,False,False,False,False,False,False,False,
Angort,False,,,,,,False,False,False,False,False,False,False,
Anna,True,exact_canonical,anna,anna,pldb,,True,False,False,False,False,False,False,
Ansible,False,,,,,,False,False,False,False,False,False,False,
Ante,True,exact_canonical,ante,ante,esolang;pldb,,True,False,False,True,False,False,False,
Antescofo,False,,,,,,False,False,False,False,False,False,False,
Antha,True,exact_canonical,antha,antha,pldb,,True,False,False,False,False,False,False,
Antimony,False,,,,,,False,False,False,False,False,False,False,
ANTLR,True,exact_canonical,antlr,antlr,linguist;pldb,.g4,True,True,False,False,True,True,True,
APDL,False,,,,,,False,False,False,False,False,False,False,
Apex,True,exact_canonical,apex,apex,linguist;pldb,.apex .cls .trigger,True,True,False,False,True,True,True,
Apl,True,exact_canonical,apl,apl,esolang;linguist;pldb,.apl .dyalog,True,True,False,True,True,True,True,
APL*PLUS,False,,,,,,False,False,False,False,False,False,False,
APL2,True,exact_canonical,apl2,apl2,pldb,,True,False,False,False,False,False,False,
APL\360,False,,,,,,False,False,False,False,False,False,False,
APL\370,False,,,,,,False,False,False,False,False,False,False,
APLX,True,exact_canonical,aplx,aplx,pldb,,True,False,False,False,False,False,False,
App Inventor,False,,,,,,False,False,False,False,False,False,False,
AppGameKit,False,,,,,,False,False,False,False,False,False,False,
AppleScript,True,exact_canonical,applescript,applescript,linguist;pldb;wikipedia,.applescript .scpt,True,True,True,False,True,True,True,
Applesoft BASIC,True,exact_tool,applesoft-basic,applesoft-basic,pldb,,True,False,False,False,False,False,True,
April,True,exact_canonical,april,april,pldb,,True,False,False,False,False,False,False,
AProlog,False,,,,,,False,False,False,False,False,False,False,prolog
APT,True,exact_canonical,apt,apt,pldb,,True,False,False,False,False,False,False,
AQL,True,exact_canonical,aql,aql,pldb,,True,False,False,False,False,False,False,
Aqua,False,,,,,,False,False,False,False,False,False,False,
Aquarius BASIC,False,,,,,,False,False,False,False,False,False,False,
Arbre,False,,,,,,False,False,False,False,False,False,False,
Arc,True,exact_canonical,arc,arc,linguist;pldb,.arc,True,True,False,False,True,False,True,
Arcadia,False,,,,,,False,False,False,False,False,False,False,
Archetype,False,,,,,,False,False,False,False,False,False,False,
Arden,False,,,,,,False,False,False,False,False,False,False,
Arden Syntax,False,,,,,,False,False,False,False,False,False,False,
Arduino,True,exact_canonical,arduino,arduino,pldb,,True,False,False,False,False,True,False,
Arend,True,exact_canonical,arend,arend,pldb,,True,False,False,False,False,False,False,
Arendelle,False,,,,,,False,False,False,False,False,False,False,
ARexx,True,exact_canonical,arexx,arexx,pldb,,True,False,False,False,False,True,False,
Argile,False,,,,,,False,False,False,False,False,False,False,
Argos,True,exact_canonical,argos,argos,pldb,,True,False,False,False,False,False,False,
Argus,True,exact_canonical,argus,argus,pldb,,True,False,False,False,False,False,False,
Aria,False,,,,,,False,False,False,False,False,False,False,
ARIBAS,False,,,,,,False,False,False,False,False,False,False,
ARITH-MATIC,True,exact_canonical,arith-matic,arith-matic,pldb,,True,False,False,False,False,False,False,
Ark,True,exact_canonical,ark,ark,esolang;pldb,,True,False,False,True,False,False,False,
ArkTS,False,,,,,,False,False,False,False,False,False,False,
ARM Assembly,False,,,,,,False,False,False,False,False,False,False,
Arn,True,exact_canonical,arn,Arn,esolang,,False,False,False,True,False,False,False,
Arnold C,False,,,,,,False,False,False,False,False,False,False,ArnoldC
ArnoldC,True,exact_canonical,arnoldc,ArnoldC,esolang,,False,False,False,True,False,False,True,
Arturo,True,exact_canonical,arturo,arturo,pldb,,True,False,False,False,False,True,True,
Ascent,False,,,,,,False,False,False,False,False,False,False,
AsciiDoc,True,exact_canonical,asciidoc,asciidoc,linguist;pldb,.adoc .asc .asciidoc,True,True,False,False,True,True,False,
AsciiDots,True,exact_canonical,asciidots,asciidots,esolang;pldb,,True,False,False,True,False,False,True,
ASF+SDF,False,,,,,,False,False,False,False,False,False,False,
Ash,True,exact_canonical,ash,Ash,esolang,,False,False,False,True,False,False,False,
ASIC,True,exact_canonical,asic,Asic,esolang,,False,False,False,True,False,False,True,
Asir,False,,,,,,False,False,False,False,False,False,False,
asm.js,False,,,,,,False,False,False,False,False,False,False,
AsmL,False,,,,,,False,False,False,False,False,False,False,
ASN.1,True,exact_canonical,asn.1,ASN.1,linguist,.asn .asn1,False,True,False,False,True,True,False,
ASP,True,exact_canonical,asp,asp,pldb,,True,False,False,False,True,False,False,
AspectC++,False,,,,,,False,False,False,False,False,False,False,
AspectJ,True,exact_canonical,aspectj,aspectj,linguist;pldb;wikipedia,.aj,True,True,True,False,True,True,True,
Assembly,True,exact_canonical,assembly,Assembly,esolang;linguist,.a51 .asm .i .inc .nas .nasm .s,False,True,False,True,True,True,True,
Assembly Language,False,,,,,,False,False,False,False,False,False,False,assembly-language
AssemblyScript,True,exact_canonical,assemblyscript,assemblyscript,pldb,,True,False,False,False,False,False,True,
ASSIST,False,,,,,,False,False,False,False,False,False,False,
Asteroid,False,,,,,,False,False,False,False,False,False,False,
Astro,True,exact_canonical,astro,astro,linguist;pldb,.astro,True,True,False,False,False,False,True,
Asymptote,True,exact_canonical,asymptote,asymptote,linguist;pldb,.asy,True,True,False,False,True,True,True,
Atari BASIC,False,,,,,,False,False,False,False,False,False,False,
Ateji PX,False,,,,,,False,False,False,False,False,False,False,
ATL,False,,,,,,False,False,False,False,False,False,False,
ATLAS,True,exact_canonical,atlas,atlas,pldb,,True,False,False,False,False,False,False,
Atlas Autocode,False,,,,,,False,False,False,False,False,False,False,atlas-autocode
Atlast,False,,,,,,False,False,False,False,False,False,False,
Atomo,True,exact_canonical,atomo,atomo,pldb,,True,False,False,False,False,False,False,
ATS,True,exact_canonical,ats,ats,linguist;pldb,.dats .hats .sats,True,True,False,False,True,False,True,
ATS2,True,exact_alias,ats,ats,linguist;pldb,.dats .hats .sats,True,True,False,False,True,False,True,
Attempto Controlled English,False,,,,,,False,False,False,False,False,False,False,
Augeas,True,exact_canonical,augeas,augeas,linguist;pldb,.aug,True,True,False,False,True,True,False,
Austral,True,exact_canonical,austral,austral,pldb,,True,False,False,False,False,False,False,
Autocode,True,exact_canonical,autocode,autocode,pldb,,True,False,False,False,False,False,False,
Autocoder,True,exact_canonical,autocoder,autocoder,pldb,,True,False,False,False,False,False,False,
AUTOFLOW,False,,,,,,False,False,False,False,False,False,False,
AutoHotkey,True,exact_canonical,autohotkey,autohotkey,linguist;pldb,.ahk .ahkl,True,True,False,False,True,True,True,
AutoIt,True,exact_canonical,autoit,autoit,linguist;pldb,.au3,True,True,False,False,True,True,True,
AutoLISP,True,exact_canonical,autolisp,autolisp,pldb,,True,False,False,False,False,False,True,
Automath,True,exact_canonical,automath,automath,pldb,,True,False,False,False,False,False,False,
Avail,True,exact_canonical,avail,avail,pldb,,True,False,False,False,False,False,True,
Avenue,False,,,,,,False,False,False,False,False,False,False,
Averest,True,exact_canonical,averest,averest,pldb,,True,False,False,False,False,False,False,
AviSynth,False,,,,,,False,False,False,False,False,False,False,avi-synth
AVR Assembly,False,,,,,,False,False,False,False,False,False,False,
Avro IDL,True,exact_canonical,avro-idl,Avro IDL,linguist,.avdl,False,True,False,False,False,False,False,
Awk,True,exact_canonical,awk,awk,linguist;pldb,.auk .awk .gawk .mawk .nawk,True,True,False,False,True,True,True,
AWL,True,exact_canonical,awl,awl,pldb,,True,False,False,False,False,False,False,
Axe,False,,,,,,False,False,False,False,False,False,False,
Axiom,True,exact_canonical,axiom,axiom,pldb,,True,False,False,False,False,False,True,
Axon,False,,,,,,False,False,False,False,False,False,False,
Axum,False,,,,,,False,False,False,False,False,False,False,
Aya,True,exact_canonical,aya,Aya,esolang,,False,False,False,True,False,False,False,
B,True,exact_canonical,b,b,esolang;pldb,,True,False,False,True,False,False,True,
B Method,False,,,,,,False,False,False,False,False,False,False,
B-Method,False,,,,,,False,False,False,False,False,False,False,
B-Prolog,False,,,,,,False,False,False,False,False,False,False,
B4X,True,exact_canonical,b4x,B4X,linguist,.bas,False,True,False,False,False,True,True,
B5000 Algol,False,,,,,,False,False,False,False,False,False,False,
B6700 Algol,False,,,,,,False,False,False,False,False,False,False,
Babashka,False,,,,,,False,False,False,False,False,False,False,
Babbage,True,exact_canonical,babbage,Babbage,esolang,,False,False,False,True,False,False,False,
Babel,True,exact_canonical,babel,babel,esolang;pldb,,True,False,False,True,False,False,True,
Babel-17,False,,,,,,False,False,False,False,False,False,False,
Babelsberg,False,,,,,,False,False,False,False,False,False,False,
Baby,False,,,,,,False,False,False,False,False,False,False,
BabyCobol,False,,,,,,False,False,False,False,False,False,False,
BACAIC,False,,,,,,False,False,False,False,False,False,False,
BaCon,False,,,,,,False,False,False,False,False,False,False,
BaCon BASIC,False,,,,,,False,False,False,False,False,False,False,
Bait,False,,,,,,False,False,False,False,False,False,False,
BAL,True,exact_canonical,bal,BAL,esolang,,False,False,False,True,False,False,False,
BALGOL,True,exact_canonical,balgol,balgol,pldb,,True,False,False,False,False,False,False,
Ballerina,True,exact_canonical,ballerina,ballerina,linguist;pldb,.bal,True,True,False,False,True,False,True,
Balsa,True,exact_canonical,balsa,balsa,pldb,,True,False,False,False,False,False,False,
Balzac,False,,,,,,False,False,False,False,False,False,False,
Bamboo,True,exact_canonical,bamboo,bamboo,pldb,,True,False,False,False,False,False,False,
BANCStar,True,exact_canonical,bancstar,BANCStar,esolang,,False,False,False,True,False,False,False,
BASCOM,False,,,,,,False,False,False,False,False,False,False,
Bash,True,exact_canonical,bash,bash,pldb,,True,False,False,False,False,True,False,
BASIC,True,exact_canonical,basic,basic,esolang;linguist;pldb;wikipedia,.bas,True,True,True,True,False,True,True,
BASIC-11,True,exact_canonical,basic-11,basic-11,pldb,,True,False,False,False,False,False,False,
BASIC-128,False,,,,,,False,False,False,False,False,False,False,
BASIC-256,True,exact_canonical,basic-256,basic-256,pldb,,True,False,False,False,False,False,True,
BASIC-360,False,,,,,,False,False,False,False,False,False,False,
BASIC-80,False,,,,,,False,False,False,False,False,False,False,
BASIC-D,False,,,,,,False,False,False,False,False,False,False,
BASIC-E,True,exact_canonical,basic-e,basic-e,pldb,,True,False,False,False,False,False,False,
BASIC-PLUS,True,exact_canonical,basic-plus,basic-plus,pldb,,True,False,False,False,False,False,False,
BASIC-PLUS-2,False,,,,,,False,False,False,False,False,False,False,
BASIC09,True,exact_canonical,basic09,basic09,pldb,,True,False,False,False,False,False,True,
BASIC256,True,exact_tool,basic-256,basic-256,pldb,,True,False,False,False,False,False,True,
Basic4Android,True,exact_canonical,basic4android,basic4android,pldb,,True,False,False,False,False,False,False,
Basic4GL,True,exact_canonical,basic4gl,basic4gl,pldb,,True,False,False,False,False,False,False,
BASICA,False,,,,,,False,False,False,False,False,False,False,
BASICODE,True,exact_canonical,basicode,basicode,pldb,,True,False,False,False,False,False,False,
Basil,True,exact_canonical,basil,basil,pldb,,True,False,False,False,False,False,False,
Basilisp,False,,,,,,False,False,False,False,False,False,False,
Batari BASIC,False,,,,,,False,False,False,False,False,False,False,
Batch,True,exact_canonical,batch,batch,esolang;pldb,,True,False,False,True,False,True,False,
Batchfile,True,exact_canonical,batchfile,Batchfile,linguist,.bat .cmd,False,True,False,False,True,True,True,
Batsh,False,,,,,,False,False,False,False,False,False,False,
Battlestar,True,exact_canonical,battlestar,battlestar,pldb,,True,False,False,False,False,False,True,
Bau,False,,,,,,False,False,False,False,False,False,False,
Baysick,True,exact_canonical,baysick,baysick,pldb,,True,False,False,False,False,False,False,
BBC BASIC,False,,,,,,False,False,False,False,False,False,False,
BBN Lisp,False,,,,,,False,False,False,False,False,False,False,
BBx,True,exact_canonical,bbx,bbx,pldb,,True,False,False,False,False,False,False,
bc,True,exact_canonical,bc,bc,pldb,,True,False,False,False,False,True,True,
BCPL,True,exact_canonical,bcpl,bcpl,pldb,,True,False,False,False,False,False,True,
BDS C,False,,,,,,False,False,False,False,False,False,False,
Beads,False,,,,,,False,False,False,False,False,False,False,
Bean,False,,,,,,False,False,False,False,False,False,False,
BeanShell,True,exact_canonical,beanshell,beanshell,pldb,,True,False,False,False,False,False,False,
Beatnik,True,exact_canonical,beatnik,beatnik,esolang;pldb,,True,False,False,True,False,False,False,
Bedwyr,False,,,,,,False,False,False,False,False,False,False,
Beef,True,exact_canonical,beef,beef,esolang;linguist;pldb,.bf,True,True,False,True,False,True,True,
Beeswax,True,exact_canonical,beeswax,Beeswax,esolang,,False,False,False,True,False,False,True,
BEFLIX,True,exact_canonical,beflix,beflix,pldb,,True,False,False,False,False,False,False,
Befunge,True,exact_canonical,befunge,befunge,esolang;linguist;pldb,.befunge .bf,True,True,False,True,True,True,True,
Befunge-93,False,,,,,,False,False,False,False,False,False,False,
Befunge-98,False,,,,,,False,False,False,False,False,False,False,
Bel,True,exact_canonical,bel,bel,pldb,,True,False,False,False,False,False,False,
Beluga,False,,,,,,False,False,False,False,False,False,False,
Bend,True,exact_canonical,bend,bend,pldb,,True,False,False,False,False,False,False,
BennuGD,False,,,,,,False,False,False,False,False,False,False,
Berry,True,exact_canonical,berry,berry,linguist;pldb,.be,True,True,False,False,False,True,False,
Bertrand,False,,,,,,False,False,False,False,False,False,False,
Beryl,False,,,,,,False,False,False,False,False,False,False,
BESM-6 Assembly,False,,,,,,False,False,False,False,False,False,False,
Beta,True,exact_canonical,beta,beta,esolang;pldb,,True,False,False,True,False,False,True,
Beta BASIC,False,,,,,,False,False,False,False,False,False,False,
Betty,False,,,,,,False,False,False,False,False,False,False,
BF Joust,True,exact_canonical,bf-joust,BF Joust,esolang,,False,False,False,True,False,False,False,
BFASM,True,exact_canonical,bfasm,BFASM,esolang,,False,False,False,True,False,False,False,
BGScript,False,,,,,,False,False,False,False,False,False,False,bscript
Bhailang,False,,,,,,False,False,False,False,False,False,False,
Bicep,True,exact_canonical,bicep,Bicep,linguist,.bicep .bicepparam,False,True,False,False,False,False,False,
Bigloo,True,exact_canonical,bigloo,bigloo,pldb,,True,False,False,False,False,False,False,
Bigwig,True,exact_canonical,bigwig,bigwig,pldb,,True,False,False,False,False,False,False,
Biml,False,,,,,,False,False,False,False,False,False,False,
Binary Lambda Calculus,True,exact_canonical,binary-lambda-calculus,Binary lambda calculus,esolang,,False,False,False,True,False,False,True,
BioNetGen Language,False,,,,,,False,False,False,False,False,False,False,
BIP,False,,,,,,False,False,False,False,False,False,False,
Birch,False,,,,,,False,False,False,False,False,False,False,
Birl,True,exact_canonical,birl,BIRL,esolang,,False,False,False,True,False,False,False,
Bison,True,exact_canonical,bison,bison,linguist;pldb,.bison,True,True,False,False,True,False,False,
Bistro,False,,,,,,False,False,False,False,False,False,False,
BitBake,True,exact_canonical,bitbake,bitbake,linguist;pldb,.bb .bbappend .bbclass .inc,True,True,False,False,True,True,False,
BitBitJump,True,exact_canonical,bitbitjump,BitBitJump,esolang,,False,False,False,True,False,False,False,
BitC,True,exact_canonical,bitc,bitc,pldb,,True,False,False,False,False,False,False,
Bitcoin Script,False,,,,,,False,False,False,False,False,False,False,
BiwaScheme,False,,,,,,False,False,False,False,False,False,False,
bJou,True,exact_canonical,bjou,bjou,pldb,,True,False,False,False,False,False,False,
Blackbird,False,,,,,,False,False,False,False,False,False,False,
BlackBox Component Builder,False,,,,,,False,False,False,False,False,False,False,
BlackBox Component Pascal,False,,,,,,False,False,False,False,False,False,False,
Blade,True,exact_canonical,blade,blade,linguist;pldb,.blade .blade.php,True,True,False,False,True,False,True,
Blang,False,,,,,,False,False,False,False,False,False,False,
Blassic,False,,,,,,False,False,False,False,False,False,False,
Blech,True,exact_canonical,blech,blech,pldb,,True,False,False,False,False,False,False,
Blimp,False,,,,,,False,False,False,False,False,False,False,
BLISS,True,exact_canonical,bliss,bliss,pldb;wikipedia,,True,False,True,False,False,False,True,
BLISS-10,False,,,,,,False,False,False,False,False,False,False,
BLISS-11,False,,,,,,False,False,False,False,False,False,False,
BLISS-16,False,,,,,,False,False,False,False,False,False,False,
BLISS-32,False,,,,,,False,False,False,False,False,False,False,
BLISS-36,False,,,,,,False,False,False,False,False,False,False,
BLISS-64,False,,,,,,False,False,False,False,False,False,False,
BLITZ,False,,,,,,False,False,False,False,False,False,False,
Blitz BASIC,False,,,,,,False,False,False,False,False,False,False,blitzbasic
Blitz3D,True,exact_canonical,blitz3d,blitz3d,pldb,,True,False,False,False,False,False,False,
BlitzBasic,True,exact_canonical,blitzbasic,blitzbasic,linguist;pldb,.bb .decls,True,True,False,False,True,True,False,
BlitzMax,True,exact_canonical,blitzmax,blitzmax,linguist;pldb,.bmx,True,True,False,False,True,True,True,
BlitzPlus,True,exact_canonical,blitzplus,blitzplus,pldb,,True,False,False,False,False,False,False,
Blockdiag,False,,,,,,False,False,False,False,False,False,False,
Blockly,True,exact_canonical,blockly,blockly,pldb,,True,False,False,False,False,False,False,
BLODI,False,,,,,,False,False,False,False,False,False,False,
BLOG,False,,,,,,False,False,False,False,False,False,False,
Bloom,True,exact_canonical,bloom,bloom,pldb,,True,False,False,False,False,False,False,
