language,title,origin_url,origin_domain,origin_candidate,origin_mapping_note,manifest_path,code_path,program_folder,code_sha256_manifest,code_sha1,code_sha1_git,content_swhid_builtin,content_swhid_candidate,content_swhid_found,content_swhid_source,content_swhid_note,content_state,content_http_status,content_error,origin_state,origin_http_status,origin_error,visit_state,visit_http_status,visit_error,snapshot_swhid,coverage_bucket,added_at
6809 Assembly,Hello World,https://en.wikipedia.org/wiki/Motorola_6809,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/6809 Assembly/programs/f5e99efdc296e52cbe234f9a1d8ec4322d6deb36fca225c3b0e761dd6701d768/manifest.json,languages/6809 Assembly/programs/f5e99efdc296e52cbe234f9a1d8ec4322d6deb36fca225c3b0e761dd6701d768/code.asm,languages/6809 Assembly/programs/f5e99efdc296e52cbe234f9a1d8ec4322d6deb36fca225c3b0e761dd6701d768,f5e99efdc296e52cbe234f9a1d8ec4322d6deb36fca225c3b0e761dd6701d768,a3c99f28a87a92c3247177b37bd6790b43a7cd13,5b96fd6a0a768e0a3a77afe0791842fa7db76d18,swh:1:cnt:5b96fd6a0a768e0a3a77afe0791842fa7db76d18,swh:1:cnt:5b96fd6a0a768e0a3a77afe0791842fa7db76d18,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-11T11:35:11Z
8008 Assembly,Simple Addition,https://en.wikipedia.org/wiki/Intel_8008#Programming,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/8008 Assembly/programs/3ecd9e55c0c040c2662d2dcf0a31653c52222abf946dfaad5cd7f6090e2764af/manifest.json,languages/8008 Assembly/programs/3ecd9e55c0c040c2662d2dcf0a31653c52222abf946dfaad5cd7f6090e2764af/code.asm,languages/8008 Assembly/programs/3ecd9e55c0c040c2662d2dcf0a31653c52222abf946dfaad5cd7f6090e2764af,3ecd9e55c0c040c2662d2dcf0a31653c52222abf946dfaad5cd7f6090e2764af,ec173cb8604b1c64448d3f19ef872998bc235681,210d72cdea9080984a28de5fc841f4b3c70a1d40,swh:1:cnt:210d72cdea9080984a28de5fc841f4b3c70a1d40,swh:1:cnt:210d72cdea9080984a28de5fc841f4b3c70a1d40,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-13T10:03:50Z
8051 Assembly,LED Blink,https://www.8051projects.net/wiki/LED_Blink_Program,www.8051projects.net,,non-VCS URL skipped under --origin-scope=vcs,languages/8051 Assembly/programs/90417a0784e7e11fa39b3c6f313497aa44b79d54b0214c901a1935566ff5c579/manifest.json,languages/8051 Assembly/programs/90417a0784e7e11fa39b3c6f313497aa44b79d54b0214c901a1935566ff5c579/code.asm,languages/8051 Assembly/programs/90417a0784e7e11fa39b3c6f313497aa44b79d54b0214c901a1935566ff5c579,90417a0784e7e11fa39b3c6f313497aa44b79d54b0214c901a1935566ff5c579,ea0f2348b366f737733b5751f2502cf846a6ec35,b4a3f4d7321e87fe01ee1fe1dc640bef8baf0e9b,swh:1:cnt:b4a3f4d7321e87fe01ee1fe1dc640bef8baf0e9b,swh:1:cnt:b4a3f4d7321e87fe01ee1fe1dc640bef8baf0e9b,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-12T18:35:00Z
8085 Assembly,Simple Addition Program,https://www.geeksforgeeks.org/8085-program-add-two-8-bit-numbers/,www.geeksforgeeks.org,,non-VCS URL skipped under --origin-scope=vcs,languages/8085 Assembly/programs/7c5f573115242f3d5391585c01dc0d97d3ab4a4bad1e904a052644dde7489679/manifest.json,languages/8085 Assembly/programs/7c5f573115242f3d5391585c01dc0d97d3ab4a4bad1e904a052644dde7489679/code.asm,languages/8085 Assembly/programs/7c5f573115242f3d5391585c01dc0d97d3ab4a4bad1e904a052644dde7489679,7c5f573115242f3d5391585c01dc0d97d3ab4a4bad1e904a052644dde7489679,d3362c0993f952da3ee15641212e96612a4830e3,b53a97b0207576a8b3d0f60411daacab3eab437d,swh:1:cnt:b53a97b0207576a8b3d0f60411daacab3eab437d,swh:1:cnt:b53a97b0207576a8b3d0f60411daacab3eab437d,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-11T12:02:59Z
8086 Assembly,Hello World,https://en.wikipedia.org/wiki/X86_assembly_language,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/8086 Assembly/programs/f0ef82f26cdebccab910c69efe601b4c0dd72939f614928ec5fd21ee62189ac8/manifest.json,languages/8086 Assembly/programs/f0ef82f26cdebccab910c69efe601b4c0dd72939f614928ec5fd21ee62189ac8/code.asm,languages/8086 Assembly/programs/f0ef82f26cdebccab910c69efe601b4c0dd72939f614928ec5fd21ee62189ac8,f0ef82f26cdebccab910c69efe601b4c0dd72939f614928ec5fd21ee62189ac8,35cbfe41e882fe43b2c71f9695bf83b33a1a9a76,07e826ac07a848c703ba2377dbe439c47085af09,swh:1:cnt:07e826ac07a848c703ba2377dbe439c47085af09,swh:1:cnt:07e826ac07a848c703ba2377dbe439c47085af09,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-13T10:44:06Z
8th,Factorial,https://8th-dev.com/examples.html,8th-dev.com,,non-VCS URL skipped under --origin-scope=vcs,languages/8th/programs/01ca4b6aedbf7a133c8399d2baf259b7424977be21d8243700c753d1123c9519/manifest.json,languages/8th/programs/01ca4b6aedbf7a133c8399d2baf259b7424977be21d8243700c753d1123c9519/code.8th,languages/8th/programs/01ca4b6aedbf7a133c8399d2baf259b7424977be21d8243700c753d1123c9519,01ca4b6aedbf7a133c8399d2baf259b7424977be21d8243700c753d1123c9519,90b47b0738d88c71ceedb12993829cc62c1cd706,a70fe9028ab24d2e7619494c74bdf1217675f6b1,swh:1:cnt:a70fe9028ab24d2e7619494c74bdf1217675f6b1,swh:1:cnt:a70fe9028ab24d2e7619494c74bdf1217675f6b1,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-08T14:53:24.966676Z
A#,Hello World,https://en.wikipedia.org/wiki/A_Sharp_(.NET),en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A#/programs/af4b30ffd2fe3acc219cd9867c94cad4982cf565902c91a11e72103e7c26bd83/manifest.json,languages/A#/programs/af4b30ffd2fe3acc219cd9867c94cad4982cf565902c91a11e72103e7c26bd83/code.adb,languages/A#/programs/af4b30ffd2fe3acc219cd9867c94cad4982cf565902c91a11e72103e7c26bd83,af4b30ffd2fe3acc219cd9867c94cad4982cf565902c91a11e72103e7c26bd83,537e069753572d3cecc4e9459d0f44b8c1f04108,08e029ff6fb1e10cc07306c0f332fff85a0feb07,swh:1:cnt:08e029ff6fb1e10cc07306c0f332fff85a0feb07,swh:1:cnt:08e029ff6fb1e10cc07306c0f332fff85a0feb07,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-11T12:32:28Z
A+,Quicksort in A+,http://www.aplusdev.org/cookbook/Quicksort.html,www.aplusdev.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A+/programs/a9395e30afdbfbd59721c9c1141391cd0159f0e6d40f0994f46199a60e3f523d/manifest.json,languages/A+/programs/a9395e30afdbfbd59721c9c1141391cd0159f0e6d40f0994f46199a60e3f523d/code.a+,languages/A+/programs/a9395e30afdbfbd59721c9c1141391cd0159f0e6d40f0994f46199a60e3f523d,a9395e30afdbfbd59721c9c1141391cd0159f0e6d40f0994f46199a60e3f523d,06f217630b67b10e785d1a89c0e34746333dc754,2a5931f5f76944972128e8dddd5337e19be8722c,swh:1:cnt:2a5931f5f76944972128e8dddd5337e19be8722c,swh:1:cnt:2a5931f5f76944972128e8dddd5337e19be8722c,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2025-10-28T15:39:39Z
A-0 System,Basic Arithmetic Calculation,https://en.wikipedia.org/wiki/A-0_System,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A-0 System/programs/c53d90c62f815c710ccabb90527c1a2dedafb33340683d89069e107d7d4e0429/manifest.json,languages/A-0 System/programs/c53d90c62f815c710ccabb90527c1a2dedafb33340683d89069e107d7d4e0429/code.a0,languages/A-0 System/programs/c53d90c62f815c710ccabb90527c1a2dedafb33340683d89069e107d7d4e0429,c53d90c62f815c710ccabb90527c1a2dedafb33340683d89069e107d7d4e0429,4ed52eb036b15c2bddd6a3336dfa88e8d52d0c38,197ce3b5f3803c89d21f3b1330a3a36b75431d48,swh:1:cnt:197ce3b5f3803c89d21f3b1330a3a36b75431d48,swh:1:cnt:197ce3b5f3803c89d21f3b1330a3a36b75431d48,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-06T17:49:44Z
A-2,Square Root Calculation,https://en.wikipedia.org/wiki/Grace_Hopper,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A-2/programs/6f69143838bc2e4a/manifest.json,languages/A-2/programs/6f69143838bc2e4a/code.a2,languages/A-2/programs/6f69143838bc2e4a,6f69143838bc2e4a4a6c10f88d0ad48bd26c8981e1d06e5f7f2ebb5ab8bcaef0,5528835bd1061148133554cde250226196d26da7,de634a32af6f56ce3e0f4d9d83ce4ddaa614cdee,swh:1:cnt:de634a32af6f56ce3e0f4d9d83ce4ddaa614cdee,swh:1:cnt:de634a32af6f56ce3e0f4d9d83ce4ddaa614cdee,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-10T19:00:33.585182Z
A-3,Arithmetic Operations,https://en.wikipedia.org/wiki/A-2_(programming_language),en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A-3/programs/8873fce23b422a80fb1c05a0633371a01122540cd39b54074772908cf3b18911/manifest.json,languages/A-3/programs/8873fce23b422a80fb1c05a0633371a01122540cd39b54074772908cf3b18911/code.a3,languages/A-3/programs/8873fce23b422a80fb1c05a0633371a01122540cd39b54074772908cf3b18911,8873fce23b422a80fb1c05a0633371a01122540cd39b54074772908cf3b18911,f2ee9e34cd6eeb6ebc734dbbf760e4b2999ec302,f89787a062a0984a4ff24dd8fe3b24d7e02dc0ec,swh:1:cnt:f89787a062a0984a4ff24dd8fe3b24d7e02dc0ec,swh:1:cnt:f89787a062a0984a4ff24dd8fe3b24d7e02dc0ec,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-13T10:30:00Z
A-Shell,Hello World,https://en.wikipedia.org/wiki/A-Shell,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/A-Shell/programs/7597232c9b37590bebf5df88e828e6e9f6e7b26d15904dbf0e6d5852a56b953d/manifest.json,languages/A-Shell/programs/7597232c9b37590bebf5df88e828e6e9f6e7b26d15904dbf0e6d5852a56b953d/code.bas,languages/A-Shell/programs/7597232c9b37590bebf5df88e828e6e9f6e7b26d15904dbf0e6d5852a56b953d,7597232c9b37590bebf5df88e828e6e9f6e7b26d15904dbf0e6d5852a56b953d,808d04f42f311e0dfcb1eef8e0b4995ccc2b2184,497ef52fcaf2513d63cec4a6fd3c01811bd014a3,swh:1:cnt:497ef52fcaf2513d63cec4a6fd3c01811bd014a3,swh:1:cnt:497ef52fcaf2513d63cec4a6fd3c01811bd014a3,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-12T12:00:00Z
AADL,Simple Process with Thread,https://github.com/osate/examples/blob/master/simple-examples/simple-process.aadl,github.com,https://github.com/osate/examples,heuristic: mapped GitHub URL to repository root,languages/AADL/programs/4f77373f97c8aa0ba3979c3df2b307f4ee565d31039ae404f923e8b84d08107f/manifest.json,languages/AADL/programs/4f77373f97c8aa0ba3979c3df2b307f4ee565d31039ae404f923e8b84d08107f/code.aadl,languages/AADL/programs/4f77373f97c8aa0ba3979c3df2b307f4ee565d31039ae404f923e8b84d08107f,4f77373f97c8aa0ba3979c3df2b307f4ee565d31039ae404f923e8b84d08107f,2d62ea67f7b26cd94a3219bea5fa4167977da883,9d5075e22123f5c1501899b4de220e55aa48b643,swh:1:cnt:9d5075e22123f5c1501899b4de220e55aa48b643,swh:1:cnt:9d5075e22123f5c1501899b4de220e55aa48b643,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,unknown,2026-02-13T15:16:36Z
ABAP,Hello World in ABAP,https://github.com/Nikhilkohli1/Hello-World/blob/master/ABAP.abap,github.com,https://github.com/Nikhilkohli1/Hello-World,heuristic: mapped GitHub URL to repository root,languages/ABAP/programs/967a7206d6396615440e1e4de92b6f32bb06c1487e8c4fcae65b02d793486712/manifest.json,languages/ABAP/programs/967a7206d6396615440e1e4de92b6f32bb06c1487e8c4fcae65b02d793486712/code.abap,languages/ABAP/programs/967a7206d6396615440e1e4de92b6f32bb06c1487e8c4fcae65b02d793486712,967a7206d6396615440e1e4de92b6f32bb06c1487e8c4fcae65b02d793486712,6a626541229611082550b35b7a0ff45d6be9d8dc,2402d736d29fe52e7a96dcf9c470760682ccfa03,swh:1:cnt:2402d736d29fe52e7a96dcf9c470760682ccfa03,swh:1:cnt:2402d736d29fe52e7a96dcf9c470760682ccfa03,,builtin,,missing,404,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,unknown,2025-10-22T10:12:21Z
ABC,Simple Greeting Program,https://en.wikipedia.org/wiki/ABC_(programming_language),en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/ABC/programs/727ec797c64cf8084bb018b63cfa83651cfc9db6411b20fb9faf7c8323622951/manifest.json,languages/ABC/programs/727ec797c64cf8084bb018b63cfa83651cfc9db6411b20fb9faf7c8323622951/code.abc,languages/ABC/programs/727ec797c64cf8084bb018b63cfa83651cfc9db6411b20fb9faf7c8323622951,727ec797c64cf8084bb018b63cfa83651cfc9db6411b20fb9faf7c8323622951,3dd9676b7e9963f11d71f3b8c72d3c4299720d53,87388f0f2cfe029cb448af2bfe61b01880d3428c,swh:1:cnt:87388f0f2cfe029cb448af2bfe61b01880d3428c,swh:1:cnt:87388f0f2cfe029cb448af2bfe61b01880d3428c,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2025-10-23T08:01:33Z
ABC ALGOL,Fibonacci Sequence,https://github.com/Algol60/algol60/blob/master/examples/fibonacci.alg,github.com,https://github.com/Algol60/algol60,heuristic: mapped GitHub URL to repository root,languages/ABC ALGOL/programs/a9cf1207b67aa65e5dea0587a53ca091f19c2a7bd9094bee4bdec6e9e0a4b970/manifest.json,languages/ABC ALGOL/programs/a9cf1207b67aa65e5dea0587a53ca091f19c2a7bd9094bee4bdec6e9e0a4b970/code.alg,languages/ABC ALGOL/programs/a9cf1207b67aa65e5dea0587a53ca091f19c2a7bd9094bee4bdec6e9e0a4b970,a9cf1207b67aa65e5dea0587a53ca091f19c2a7bd9094bee4bdec6e9e0a4b970,405993213ccc3a0c63c10326a22b341a96f32bbe,084292a54badbda9e07fc46f6d71949e36cfdb40,swh:1:cnt:084292a54badbda9e07fc46f6d71949e36cfdb40,swh:1:cnt:084292a54badbda9e07fc46f6d71949e36cfdb40,,builtin,,missing,404,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,unknown,2026-02-13T10:23:38Z
ABCL,Counter Actor Example,https://github.com/k16shikano/abcl,github.com,https://github.com/k16shikano/abcl,direct origin lookup,languages/ABCL/programs/d0f248f14589c12f047622b448e7f1989cab37d10541fbb8ac7f9b53fffc8e09/manifest.json,languages/ABCL/programs/d0f248f14589c12f047622b448e7f1989cab37d10541fbb8ac7f9b53fffc8e09/code.lisp,languages/ABCL/programs/d0f248f14589c12f047622b448e7f1989cab37d10541fbb8ac7f9b53fffc8e09,d0f248f14589c12f047622b448e7f1989cab37d10541fbb8ac7f9b53fffc8e09,824b4affb3a1123bc75a87a5e22cba3282910eb7,e40b871e4cba48b6ec0e6a4c04fddf5cffa23268,swh:1:cnt:e40b871e4cba48b6ec0e6a4c04fddf5cffa23268,swh:1:cnt:e40b871e4cba48b6ec0e6a4c04fddf5cffa23268,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,unknown,2026-02-10T12:00:01Z
ABEL,Full Adder,https://en.wikipedia.org/wiki/ABEL_(language),en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/ABEL/programs/a60c7dcbfc04c13f4c1b89a794085afd2ea86999a003c51e507863df6d511aa7/manifest.json,languages/ABEL/programs/a60c7dcbfc04c13f4c1b89a794085afd2ea86999a003c51e507863df6d511aa7/code.abl,languages/ABEL/programs/a60c7dcbfc04c13f4c1b89a794085afd2ea86999a003c51e507863df6d511aa7,a60c7dcbfc04c13f4c1b89a794085afd2ea86999a003c51e507863df6d511aa7,629dab42ebcab4e7e6430935f6140c6a728394a4,590860994a67a057289b864bf19d2af51507c78f,swh:1:cnt:590860994a67a057289b864bf19d2af51507c78f,swh:1:cnt:590860994a67a057289b864bf19d2af51507c78f,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2025-11-12T13:25:15Z
